Category_x,Product,Price,Seasonal_Sale,Trends_Category,date,Trend,Keyword,Category_y,Year,Month,Month_Name,Quarter,Type,Price_Numeric,Price_Segment,Date
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,18-08-2024,64,Smartphones,Smartphones,2024,8,August,3,Sub Category,108990,Luxury (>60k),18-08-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,25-08-2024,67,Smartphones,Smartphones,2024,8,August,3,Sub Category,108990,Luxury (>60k),25-08-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,01-09-2024,69,Smartphones,Smartphones,2024,9,September,3,Sub Category,108990,Luxury (>60k),01-09-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,08-09-2024,78,Smartphones,Smartphones,2024,9,September,3,Sub Category,108990,Luxury (>60k),08-09-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,15-09-2024,84,Smartphones,Smartphones,2024,9,September,3,Sub Category,108990,Luxury (>60k),15-09-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,22-09-2024,100,Smartphones,Smartphones,2024,9,September,3,Sub Category,108990,Luxury (>60k),22-09-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,29-09-2024,78,Smartphones,Smartphones,2024,9,September,3,Sub Category,108990,Luxury (>60k),29-09-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,06-10-2024,74,Smartphones,Smartphones,2024,10,October,4,Sub Category,108990,Luxury (>60k),06-10-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,13-10-2024,69,Smartphones,Smartphones,2024,10,October,4,Sub Category,108990,Luxury (>60k),13-10-2024
Mobiles,Samsung Galaxy S25 Ultra,"Rs.108,990","Amazon Great Indian Festival (Oct), Flipkart Big Billion Days (Oct)",Smartphones,20-10-2024,68,Smartphones,Smartphones,2024,10,October,4,Sub Category,108990,Luxury (>60k),20-10-2024
